system,case_id,case_dir,rc_service,fault_type,cell_id,seed,n_nodes_secondary,n_isolated_added,rc_in_candidates,naive_rank,n_components,max_mcse,S_graph_comp_rank,S_graph_node_rank,S_graph_rc_comp_size,S_full_comp_rank,S_full_node_rank,S_full_rc_comp_size,secs
OB,OB/productcatalogservice_socket/1,/home/user/data/RE2/RE2-OB/productcatalogservice_socket/1,productcatalogservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2260725157,7,0,True,1,7,0.0011120609060995715,1.0,1.0,1.0,1,1,1,2.36
OB,OB/productcatalogservice_socket/2,/home/user/data/RE2/RE2-OB/productcatalogservice_socket/2,productcatalogservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,4265699354,7,0,True,1,7,0.0011118230144676804,1.0,1.0,1.0,1,1,1,2.36
OB,OB/productcatalogservice_socket/3,/home/user/data/RE2/RE2-OB/productcatalogservice_socket/3,productcatalogservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,130109497,7,0,True,1,7,0.001111466523956075,1.0,1.0,1.0,1,1,1,2.48
OB,OB/recommendationservice_cpu/1,/home/user/data/RE2/RE2-OB/recommendationservice_cpu/1,recommendationservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1485385955,7,0,True,1,7,0.0011114494720296554,1.0,1.0,1.0,1,1,1,2.39
OB,OB/recommendationservice_cpu/2,/home/user/data/RE2/RE2-OB/recommendationservice_cpu/2,recommendationservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1260956066,7,0,True,1,7,0.0011116694076365508,1.0,1.0,1.0,1,1,1,2.46
OB,OB/recommendationservice_cpu/3,/home/user/data/RE2/RE2-OB/recommendationservice_cpu/3,recommendationservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3341947355,7,0,True,1,7,0.0011116370178704917,1.0,1.0,1.0,1,1,1,2.5
OB,OB/recommendationservice_delay/1,/home/user/data/RE2/RE2-OB/recommendationservice_delay/1,recommendationservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1465234938,7,0,True,1,7,0.0011116777914485833,1.0,1.0,1.0,1,1,1,2.55
OB,OB/recommendationservice_delay/2,/home/user/data/RE2/RE2-OB/recommendationservice_delay/2,recommendationservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2791727501,7,0,True,1,7,0.0011114116348140324,2.0,2.0,1.0,1,1,1,2.34
OB,OB/recommendationservice_delay/3,/home/user/data/RE2/RE2-OB/recommendationservice_delay/3,recommendationservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1629555464,7,0,True,1,7,0.0011114287361320113,2.0,2.0,1.0,1,1,1,2.41
OB,OB/recommendationservice_disk/1,/home/user/data/RE2/RE2-OB/recommendationservice_disk/1,recommendationservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,47987297,7,0,True,1,7,0.0011115478208336338,5.0,5.0,1.0,2,2,1,2.48
OB,OB/recommendationservice_disk/2,/home/user/data/RE2/RE2-OB/recommendationservice_disk/2,recommendationservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,758400203,7,0,True,1,7,0.0011117327464368403,2.0,2.0,1.0,1,1,1,2.58
OB,OB/recommendationservice_disk/3,/home/user/data/RE2/RE2-OB/recommendationservice_disk/3,recommendationservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3166338620,7,0,True,1,7,0.0011115804378788788,1.0,1.0,1.0,1,1,1,2.52
OB,OB/recommendationservice_loss/1,/home/user/data/RE2/RE2-OB/recommendationservice_loss/1,recommendationservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2431074975,7,0,True,1,7,0.001111401852616775,1.0,1.0,1.0,1,1,1,1.86
OB,OB/recommendationservice_loss/2,/home/user/data/RE2/RE2-OB/recommendationservice_loss/2,recommendationservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2675158159,7,0,True,1,7,0.0011114616542530831,1.0,1.0,1.0,1,1,1,2.45
OB,OB/recommendationservice_loss/3,/home/user/data/RE2/RE2-OB/recommendationservice_loss/3,recommendationservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,370500855,7,0,True,1,7,0.0011116574210947364,1.0,1.0,1.0,1,1,1,2.46
OB,OB/recommendationservice_mem/1,/home/user/data/RE2/RE2-OB/recommendationservice_mem/1,recommendationservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,285093507,7,0,True,1,7,0.0011117981376468481,1.0,1.0,1.0,1,1,1,2.92
OB,OB/recommendationservice_mem/2,/home/user/data/RE2/RE2-OB/recommendationservice_mem/2,recommendationservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,4064630043,7,0,True,1,7,0.0011117684570089224,2.0,2.0,1.0,1,1,1,2.65
OB,OB/recommendationservice_mem/3,/home/user/data/RE2/RE2-OB/recommendationservice_mem/3,recommendationservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2527992842,7,0,True,1,7,0.0011112468220427,1.0,1.0,1.0,1,1,1,2.81
OB,OB/recommendationservice_socket/1,/home/user/data/RE2/RE2-OB/recommendationservice_socket/1,recommendationservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1823533498,7,0,True,1,7,0.0011115816443248781,1.0,1.0,1.0,1,1,1,2.05
OB,OB/recommendationservice_socket/2,/home/user/data/RE2/RE2-OB/recommendationservice_socket/2,recommendationservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3230920774,7,0,True,1,7,0.001111270315393604,1.0,1.0,1.0,1,1,1,3.51
OB,OB/recommendationservice_socket/3,/home/user/data/RE2/RE2-OB/recommendationservice_socket/3,recommendationservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,4269731644,7,0,True,1,7,0.0011118572857498393,2.0,2.0,1.0,1,1,1,2.99
TT,TT/ts-auth-service_cpu/1,/home/user/data/RE2/RE2-TT/ts-auth-service_cpu/1,ts-auth-service,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3298710147,27,1,True,1,25,0.0011178993299935374,,,,3,3,1,10.27
TT,TT/ts-auth-service_cpu/2,/home/user/data/RE2/RE2-TT/ts-auth-service_cpu/2,ts-auth-service,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2858960929,27,1,True,1,25,0.0011178668614262612,,,,8,10,1,6.86
